task,rho,n_training_seeds,clean_eval_score_mean,clean_eval_score_pstdev,obs_sigma_008_score_mean,obs_sigma_008_score_pstdev,recovery_label_rate,atr_normalized_q90_mean,atr_normalized_q90_pstdev,smpr_delta010_mean,smpr_delta010_pstdev,proxy_gap_q50q90_mean,proxy_gap_q50q90_pstdev,proxy_gap_positive_rate,top1_agree_mean,top1_agree_pstdev,cert_pass_rate_mean,notes
Reacher,0.06,3,82.222222,2.793290170266719,80.66666677777778,1.186342121662067,1.0,0.027777915693412807,0.00042540224153621656,0.9933332999547323,0.004714068810145483,8.901650746663412,0.25454129207894705,1.0,0.9900000002235174,0.0,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.07,3,82.11111122222222,2.1998878422589074,83.33333322222222,1.088662107903648,1.0,0.02550962599657137,0.0010816173622925555,0.9933332999547323,0.004714068810145483,9.714690526326498,1.214336238864255,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.08,3,81.33333333333333,2.325383441101323,81.55555533333333,0.874889820223604,1.0,0.022787086245157413,0.0008302502784071485,1.0,0.0,11.593287626902262,0.7759111389588043,1.0,0.9833333337058624,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.00,3,65.22222222222223,1.0999438818457425,43.111111,3.2697642079068436,0.0,1.0,0.0,0.0733333316942056,0.00942809020508639,-314.6528625488281,8.912288106539329,0.0,0.08666668335596721,0.03299831308362434,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.01,3,66.77777777777777,1.812167401582451,48.777777666666665,0.3142698376621932,0.0,0.77249424216063,0.06316443768319237,0.3399999837080638,0.10614455256314899,-185.0696767171224,43.59260925510447,0.0,0.3433333436648051,0.09741093569807874,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.02,3,63.666666666666664,2.6246692913372702,56.66666655555556,3.067149877389493,0.0,0.31636231585097135,0.2196376519336692,0.8666666547457377,0.15456031725652958,-29.419572512308758,66.54397910460641,0.3333333333333333,0.760000005364418,0.19595917504262528,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.03,3,64.55555533333333,1.662958868261894,65.99999977777777,1.6996733237323667,1.0,0.2567480856247335,0.005811288977818554,0.9799999594688416,0.008164958022559074,3.9904556274414062,15.64707510848249,0.6666666666666666,0.9233333331843218,0.016996732793248467,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.04,3,68.11111133333334,1.0304019592037306,64.111111,0.8314793895874185,1.0,0.13544193165231308,0.009384801391371045,1.0,0.0,44.9526735941569,10.500985734216062,1.0,0.9700000006705523,0.008164965626776053,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.05,3,62.666666444444445,3.3993462334417806,63.55555566666667,2.528846020921577,0.6666666666666666,0.050050483362402455,0.02888187918772459,1.0,0.0,56.47082773844401,14.924973003004277,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.06,3,65.9999998888889,1.186342184101117,64.88888888888889,1.8525926444237317,1.0,0.04335930255461173,0.00228579110165291,1.0,0.0,75.58984247843425,4.6591899806984305,1.0,0.993333333482345,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.07,3,64.66666688888888,2.1602467451659404,65.22222244444444,1.5475985458959565,1.0,0.03525060027611093,0.0022547237562940943,1.0,0.0,80.51717058817546,6.247968160920574,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.08,3,61.66666677777778,3.569417547672122,62.55555566666667,1.547598849033849,0.3333333333333333,0.032470967132597124,0.00045745543981031187,1.0,0.0,66.84612083435059,11.982329622279751,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
