training_seed,task,std_key,candidate_count,sharp_cert_pass_rate,sharp_cert_pass_n,sharp_cert_pass_lower95_wilson,flip_risk_upper95_from_coverage,observed_flip_rate,flip_when_sharp_cert_fail_rate,risk_coverage_aurc
3074,TwoRoom,0.05,32,0.8899999856948853,89,0.8279141735549224,0.17208582644507764,0.019999999552965164,0.1818181872367859,0.0009999999999999998
3074,TwoRoom,0.05,65,0.8500000238418579,85,0.7820969631120788,0.21790303688792123,0.07000000029802322,0.46666666865348816,0.005166666666666667
3074,TwoRoom,0.06,8,0.9900000095367432,99,0.956418226465944,0.04358177353405601,0.009999999776482582,1.0,5.000000000000004e-05
3074,TwoRoom,0.06,16,0.9900000095367432,99,0.956418226465944,0.04358177353405601,0.009999999776482582,1.0,5.000000000000004e-05
3074,TwoRoom,0.06,32,0.949999988079071,95,0.9008389147209472,0.09916108527905276,0.029999999329447746,0.6000000238418579,0.0007500000000000007
3074,TwoRoom,0.06,65,0.9399999976158142,94,0.8881590347735402,0.11184096522645981,0.029999999329447746,0.5,0.0009000000000000007
3074,TwoRoom,0.07,8,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.009999999776482582,0.3333333432674408,0.00015000000000000015
3074,TwoRoom,0.07,16,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.019999999552965164,0.6666666865348816,0.0003000000000000003
3074,TwoRoom,0.07,32,0.9599999785423279,96,0.9138471026288194,0.08615289737118059,0.019999999552965164,0.5,0.00040000000000000034
3074,TwoRoom,0.07,65,0.9200000166893005,92,0.8635352304245132,0.1364647695754868,0.029999999329447746,0.375,0.0011999999999999995
3074,TwoRoom,0.08,8,0.9900000095367432,99,0.956418226465944,0.04358177353405601,0.009999999776482582,1.0,5.000000000000004e-05
3074,TwoRoom,0.08,16,1.0,100,0.9736572792168257,0.026342720783174345,0.0,,0.0
3074,TwoRoom,0.08,32,0.9300000071525574,93,0.8757398869332069,0.12426011306679308,0.029999999329447746,0.4285714328289032,0.0010499999999999993
3074,TwoRoom,0.08,65,0.9100000262260437,91,0.8515117505459098,0.14848824945409023,0.029999999329447746,0.3333333432674408,0.0013499999999999994
3072,PushT,0.0,8,0.09000000357627869,9,0.05311278158811268,0.9468872184118873,0.7599999904632568,0.8351648449897766,0.5620555555555555
3072,PushT,0.0,16,0.05000000074505806,5,0.02454736342580413,0.9754526365741959,0.8999999761581421,0.9473684430122375,0.7134444444444445
3072,PushT,0.0,32,0.019999999552965164,2,0.0066406435950121315,0.9933593564049878,0.9300000071525574,0.9489796161651611,0.7596111111111111
3072,PushT,0.0,65,0.019999999552965164,2,0.0066406435950121315,0.9933593564049878,0.9599999785423279,0.9795918464660645,0.8237777777777777
3072,PushT,0.01,8,0.5899999737739563,59,0.5077672426627459,0.49223275733725413,0.20999999344348907,0.5121951103210449,0.0458
3072,PushT,0.01,16,0.550000011920929,55,0.46792669861613656,0.5320733013838634,0.25999999046325684,0.5777778029441833,0.07016666666666665
3072,PushT,0.01,32,0.47999998927116394,48,0.39943788671317254,0.6005621132868275,0.3400000035762787,0.6538461446762085,0.10253333333333334
3072,PushT,0.01,65,0.3700000047683716,37,0.29498849195331245,0.7050115080466876,0.3799999952316284,0.60317462682724,0.12539999999999998
3072,PushT,0.02,8,0.8500000238418579,85,0.7820969631120788,0.21790303688792123,0.07999999821186066,0.5333333611488342,0.006500000000000001
3072,PushT,0.02,16,0.8299999833106995,83,0.7597233990511757,0.2402766009488243,0.07999999821186066,0.47058823704719543,0.006833333333333334
3072,PushT,0.02,32,0.7699999809265137,77,0.6942151711258685,0.3057848288741315,0.10000000149011612,0.43478259444236755,0.01011111111111111
3072,PushT,0.02,65,0.6700000166893005,67,0.5890728630443055,0.4109271369556945,0.15000000596046448,0.4545454680919647,0.018755555555555553
3072,PushT,0.03,8,0.9100000262260437,91,0.8515117505459098,0.14848824945409023,0.03999999910593033,0.4444444477558136,0.0017999999999999995
3072,PushT,0.03,16,0.8799999952316284,88,0.8163055403243499,0.18369445967565012,0.05000000074505806,0.4166666567325592,0.0031666666666666666
3072,PushT,0.03,32,0.8600000143051147,86,0.793406218062001,0.20659378193799904,0.05999999865889549,0.4285714328289032,0.0037777777777777775
3072,PushT,0.03,65,0.7599999904632568,76,0.6834958673427909,0.3165041326572091,0.09000000357627869,0.375,0.008499999999999999
3072,PushT,0.04,8,0.8999999761581421,90,0.8396444903889078,0.16035550961109224,0.03999999910593033,0.4000000059604645,0.0019999999999999996
3072,PushT,0.04,16,0.8899999856948853,89,0.8279141735549224,0.17208582644507764,0.05999999865889549,0.5454545617103577,0.0036111111111111105
3072,PushT,0.04,32,0.8600000143051147,86,0.793406218062001,0.20659378193799904,0.05999999865889549,0.4285714328289032,0.0037777777777777775
3072,PushT,0.04,65,0.8299999833106995,83,0.7597233990511757,0.2402766009488243,0.07999999821186066,0.47058823704719543,0.006833333333333334
3072,PushT,0.05,8,0.8500000238418579,85,0.7820969631120788,0.21790303688792123,0.05999999865889549,0.4000000059604645,0.0038333333333333327
3072,PushT,0.05,16,0.8399999737739563,84,0.7708713799517315,0.2291286200482685,0.03999999910593033,0.25,0.0028888888888888888
