task,sigma_max,sigma_eval,n_training_seeds,clean_success_mean,clean_success_sd,stress_success_mean,stress_success_sd,retention_pp_mean,retention_pp_sd,relative_ir_mean,relative_ir_sd,sr_mean,sr_sd,ir_pass_count,joint_pass_count,natural_sr_veto_count
Reacher,1.5,0.16,3,76.33332222220001,2.000000000092592,78.77778888889999,3.6565420823915042,2.4444666667,2.168769919680526,0.018370595645625532,0.0019226223548427827,1.0,0.0,3,3,0
Reacher,1.5,0.32,3,76.33332222220001,2.000000000092592,75.0000111111,0.8819297026176547,-1.3333111110999976,1.452981609336599,0.03441503787044822,0.0040230883580325135,1.0,0.0,3,3,0
Reacher,1.5,0.64,3,76.33332222220001,2.000000000092592,71.88889999999999,2.168785289050068,-4.444422222199999,2.1687682119376137,0.06456468839773405,0.005582382432206052,1.0,0.0,3,3,0
Cube,0.1,0.08,3,62.11111111113333,1.2619796323883203,62.33334444443333,0.6666500000694471,0.22223333329999662,1.8953998894897557,0.028694571302117028,0.0010913808991656418,1.0,0.0,3,3,0
Cube,0.1,0.16,3,62.11111111113333,1.2619796323883203,63.8889,0.6939073481300616,1.7777888888666666,1.1706266130201883,0.10335730250218744,0.008240608750558615,1.0,0.0,3,3,0
Cube,0.1,0.32,3,62.11111111113333,1.2619796323883203,48.222222222233334,1.9531550923730985,-13.8888888889,3.0061665018806973,0.8347494197561142,0.035465276934740594,0.16333332657814026,0.015275252381553726,0,0,0
Cube,0.1,0.64,3,62.11111111113333,1.2619796323883203,40.666666666666664,2.6666666666499985,-21.44444444446667,3.863408589012017,0.9107464680158506,0.11109208030234553,0.08333333147068818,0.06806859133408884,0,0,0
Cube,0.2,0.08,3,56.444433333333336,0.8388727005465234,56.33334444443333,0.6666500000694471,-0.11108888890000183,0.693861978974683,0.016617161936964914,0.0003484877670626382,1.0,0.0,3,3,0
Cube,0.2,0.16,3,56.444433333333336,0.8388727005465234,56.777777777766666,1.3471506280898802,0.33334444443333194,2.0816606618924114,0.03235645320193364,0.0011323601498227959,1.0,0.0,3,3,0
Cube,0.2,0.32,3,56.444433333333336,0.8388727005465234,57.1111,0.8388859457637844,0.6666666666666666,1.4529663144829663,0.09042265016870342,0.003603515141492571,1.0,0.0,3,3,0
